Task Name,Period,Criticality,WCET-HI,WCET-LO,Utilization
T1-Copy1-HC,200,HC,61,25.3274423361503,0.3048043923845638
T1-Copy2-HC,200,HC,61,25.3274423361503,0.3048043923845638
T1-Copy3-HC,200,HC,61,25.3274423361503,0.3048043923845638
T2-Copy1-HC,20,HC,1,0.1301922364628606,0.021055470116691694
T2-Copy2-HC,20,HC,1,0.1301922364628606,0.021055470116691694
T2-Copy3-HC,20,HC,1,0.1301922364628606,0.021055470116691694
T3-Copy1-HC,50,HC,4,1.5928137417955506,0.07007328874427454
T3-Copy2-HC,50,HC,4,1.5928137417955506,0.07007328874427454
T3-Copy3-HC,50,HC,4,1.5928137417955506,0.07007328874427454
T4-Copy1-HC,20,HC,1,0.30982635098402805,0.03288583406599729
T4-Copy2-HC,20,HC,1,0.30982635098402805,0.03288583406599729
T4-Copy3-HC,20,HC,1,0.30982635098402805,0.03288583406599729
T5-Copy1-HC,20,HC,1,0.4154311232273838,0.05523979157552702
T5-Copy2-HC,20,HC,1,0.4154311232273838,0.05523979157552702
T5-Copy3-HC,20,HC,1,0.4154311232273838,0.05523979157552702
T6-LC,500,LC,184,,0.3675713441741455
T7-LC,200,LC,4,,0.019715891574016098
T8-LC,40,LC,33,,0.8312632065267227
T9-LC,200,LC,119,,0.5954603956609686
T10-LC,200,LC,147,,0.733812831402984
