Task Name,Period,Criticality,WCET-HI,WCET-LO,Utilization
T1-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T2-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T3-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T4-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T5-HC,10,HC,4.710374605864409,2.047472234571273,0.4710374605864409
T6-HC,20,HC,0.03998418730397191,0.012479965893849554,0.0019992093651985954
T7-HC,200,HC,36.63177512963536,16.85495750456179,0.1831588756481768
T8-HC,20,HC,7.130758301265132,2.493849133832386,0.3565379150632566
T9-HC,50,HC,14.398606007761039,5.86393525795434,0.2879721201552208
T10-HC,40,HC,36.232799183429805,13.927030302088147,0.9058199795857451
T11-HC,100,HC,61.46326287635446,24.125904979328087,0.6146326287635446
T12-HC,20,HC,8.791982407285577,3.4167942651131415,0.43959912036427884
T13-HC,1000,HC,217.49515524471974,69.50748138141995,0.21749515524471974
T14-HC,1000,HC,601.9825615216537,281.24957389033443,0.6019825615216536
T15-HC,20,HC,12.012542968670203,5.829367528229564,0.6006271484335102
T16-LC,50,LC,48.712656758218166,,0.9742531351643633
T17-LC,40,LC,6.5185483719459825,,0.16296370929864956
T18-LC,400,LC,209.09854626283567,,0.5227463656570892
T19-LC,500,LC,17.978434701366062,,0.03595686940273213
T20-LC,500,LC,29.74353417887432,,0.05948706835774864
T21-LC,50,LC,49.73246329555343,,0.9946492659110686
T22-LC,400,LC,191.11476914545767,,0.4777869228636442
T23-LC,10,LC,1.3567743449438074,,0.13567743449438074
T24-LC,40,LC,20.792059130220466,,0.5198014782555116
T25-LC,400,LC,236.288424943037,,0.5907210623575925
T26-LC,10,LC,0.19580834138296366,,0.019580834138296366
T27-LC,400,LC,79.40304035684358,,0.19850760089210895
T28-LC,100,LC,30.208833494973884,,0.30208833494973886
T29-LC,500,LC,71.57393546523578,,0.14314787093047154
T30-LC,100,LC,52.147970961659794,,0.521479709616598
