Task Name,Period,Criticality,WCET-HI,WCET-LO,Utilization
T1-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy1-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy2-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy3-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy4-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy5-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy6-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy7-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy8-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy9-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy10-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy11-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy12-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T1-Copy13-HC,400,HC,17.867783128734263,6.0407755496960585,0.04466945782183566
T2-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy1-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy2-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy3-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy4-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy5-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy6-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy7-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy8-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy9-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy10-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy11-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy12-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T2-Copy13-HC,20,HC,0.35443076984212796,0.15304198359727123,0.0177215384921064
T3-HC,200,HC,1.8425118538675838,0.7088432829520976,0.009212559269337919
T3-Copy1-HC,200,HC,1.8425118538675838,0.7088432829520976,0.009212559269337919
T3-Copy2-HC,200,HC,1.8425118538675838,0.7088432829520976,0.009212559269337919
T3-Copy3-HC,200,HC,1.8425118538675838,0.7088432829520976,0.009212559269337919
T3-Copy4-HC,200,HC,1.8425118538675838,0.7088432829520976,0.009212559269337919
T3-Copy5-HC,200,HC,1.8425118538675838,0.7088432829520976,0.009212559269337919
T3-Copy6-HC,200,HC,1.8425118538675838,0.7088432829520976,0.009212559269337919
