Task Name,Period,Criticality,WCET-HI,WCET-LO,Utilization
T1-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy1-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy2-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy3-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy4-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy5-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy6-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy7-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy8-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy9-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy10-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy11-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy12-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T1-Copy13-HC,400,HC,250.14896380227967,84.5708576957448,0.6253724095056992
T2-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy1-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy2-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy3-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy4-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy5-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy6-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy7-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy8-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy9-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy10-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy11-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy12-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T2-Copy13-HC,20,HC,4.962030777789792,2.1425877703617973,0.2481015388894896
T3-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy1-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy2-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy3-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy4-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy5-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy6-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy7-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy8-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy9-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy10-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy11-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy12-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T3-Copy13-HC,200,HC,25.79516595414617,9.923805961329368,0.12897582977073085
T4-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy1-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy2-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy3-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy4-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy5-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy6-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy7-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy8-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy9-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
T4-Copy10-HC,500,HC,328.9201924061702,155.50272761810112,0.6578403848123404
