Task Name,Period,Criticality,WCET-HI,WCET-LO,Utilization
T1-Copy1-HC,40,HC,4,1.3947230412611822,0.09901173954546512
T1-Copy2-HC,40,HC,4,1.3947230412611822,0.09901173954546512
T1-Copy3-HC,40,HC,4,1.3947230412611822,0.09901173954546512
T2-Copy1-HC,50,HC,1,0.6944601067394941,0.028194847560090608
T2-Copy2-HC,50,HC,1,0.6944601067394941,0.028194847560090608
T2-Copy3-HC,50,HC,1,0.6944601067394941,0.028194847560090608
T3-Copy1-HC,1000,HC,4,1.574254995742987,0.003975990072956274
T3-Copy2-HC,1000,HC,4,1.574254995742987,0.003975990072956274
T3-Copy3-HC,1000,HC,4,1.574254995742987,0.003975990072956274
T4-Copy1-HC,10,HC,1,0.30272419796913236,0.07145322181616305
T4-Copy2-HC,10,HC,1,0.30272419796913236,0.07145322181616305
T4-Copy3-HC,10,HC,1,0.30272419796913236,0.07145322181616305
T5-Copy1-HC,200,HC,1,0.10092937294135564,0.0014073996641759123
T5-Copy2-HC,200,HC,1,0.10092937294135564,0.0014073996641759123
T5-Copy3-HC,200,HC,1,0.10092937294135564,0.0014073996641759123
T6-Copy1-HC,200,HC,14,6.511406727706175,0.07019513027342998
T6-Copy2-HC,200,HC,14,6.511406727706175,0.07019513027342998
T6-Copy3-HC,200,HC,14,6.511406727706175,0.07019513027342998
T7-Copy1-HC,200,HC,5,1.6258228114944804,0.02546660179628842
T7-Copy2-HC,200,HC,5,1.6258228114944804,0.02546660179628842
T7-Copy3-HC,200,HC,5,1.6258228114944804,0.02546660179628842
T8-Copy1-HC,200,HC,27,11.314781869870973,0.13290126934214838
T8-Copy2-HC,200,HC,27,11.314781869870973,0.13290126934214838
T8-Copy3-HC,200,HC,27,11.314781869870973,0.13290126934214838
T9-Copy1-HC,400,HC,23,10.247290327742268,0.05815887042118225
T9-Copy2-HC,400,HC,23,10.247290327742268,0.05815887042118225
T9-Copy3-HC,400,HC,23,10.247290327742268,0.05815887042118225
T10-Copy1-HC,1000,HC,3,1.1793651156223448,0.002720413045292247
